afrovenator,carnivorous,abakensis
spinosaurus,carnivorous,aegyptiacus
kentrosaurus,herbivorous,aethiopicus
deltadromeus,carnivorous,agilis
lophostropheus,carnivorous,airelensis
apatosaurus,herbivorous,ajax
styracosaurus,herbivorous,albertensis
dromaeosaurus,carnivorous,albertensis
becklespinax,carnivorous,altispinax
hypacrosaurus,herbivorous,altispinus
brachiosaurus,herbivorous,altithorax
struthiomimus,omnivorous,altus
dryosaurus,herbivorous,altus
leaellynasaura,herbivorous,amicagraphica
erlikosaurus,omnivorous,andrewsi
protoceratops,herbivorous,andrewsi
lycorhinus,herbivorous,angustidens
thecodontosaurus,omnivorous,antiquus
deinonychus,carnivorous,antirrhopus
dryptosaurus,carnivorous,aquilunguis
jaxartosaurus,herbivorous,aralensis
lurdusaurus,herbivorous,arenatus
dacentrurus,herbivorous,armatus
hylaeosaurus,herbivorous,armatus
stegosaurus,herbivorous,armatus
shanag,carnivorous,ashile
archaeornithomimus,carnivorous,asiaticus
ampelosaurus,herbivorous,atacis
acrocanthosaurus,carnivorous,atokensis
lophorhothon,herbivorous,atopus
majungasaurus,carnivorous,atopus
neuquenosaurus,herbivorous,australis
struthiosaurus,herbivorous,austriacus
aegyptosaurus,herbivorous,baharijensis
elaphrosaurus,carnivorous,bambergi
datousaurus,herbivorous,bashanensis
tarbosaurus,carnivorous,bataar
iguanodon,herbivorous,bernissartensis
marshosaurus,carnivorous,bicentesimus
cedarpelta,herbivorous,bilbeyhallorum
arrhinoceratops,herbivorous,brachyops
proceratosaurus,carnivorous,bradleyi
giraffatitan,herbivorous,brancai
garudimimus,omnivorous,brevipes
coloradisaurus,omnivorous,brevis
nanshiungosaurus,omnivorous,brevispinus
dromiceiomimus,omnivorous,brevitertius
rhoetosaurus,herbivorous,brownei
chindesaurus,carnivorous,bryansmalli
megalosaurus,carnivorous,bucklandii
poekilopleuron,carnivorous,bucklandii
gallimimus,omnivorous,bullatus
gastonia,herbivorous,burgei
protohadros,herbivorous,byrdi
pantydraco,herbivorous,caducus
homalocephale,herbivorous,calathocercos
alvarezsaurus,carnivorous,calvoi
brachylophosaurus,herbivorous,canadensis
pachyrhinosaurus,herbivorous,canadensis
valdosaurus,herbivorous,canaliculatus
guaibasaurus,herbivorous,candelariensis
massospondylus,omnivorous,carinatus
giganotosaurus,carnivorous,carolinii
eolambia,herbivorous,caroljonesa
corythosaurus,herbivorous,casuarius
amargasaurus,herbivorous,cazaui
aardonyx,herbivorous,celestae
irritator,carnivorous,challengeri
sinovenator,carnivorous,changii
therizinosaurus,unknown,cheloniformis
zuniceratops,herbivorous,christopheri
saichania,herbivorous,chulsanensis
gasparinisaura,herbivorous,cincosaltensis
isisaurus,herbivorous,colberti
abelisaurus,carnivorous,comahuensis
unenlagia,carnivorous,comahuensis
silvisaurus,herbivorous,condrayi
mamenchisaurus,herbivorous,constructus
gasosaurus,carnivorous,constructus
pelorosaurus,herbivorous,conybearei
oryctodromeus,herbivorous,cubicularis
magyarosaurus,herbivorous,dacus
shuvuuia,omnivorous,deserti
lesothosaurus,herbivorous,diagnosticus
camptosaurus,herbivorous,dispar
malawisaurus,herbivorous,dixeyi
gobisaurus,herbivorous,domoculus
yinlong,herbivorous,downsi
sauropelta,herbivorous,edwardsorum
saltopus,carnivorous,elginensis
cryolophosaurus,carnivorous,elliotti
erketu,herbivorous,ellisoni
plateosaurus,herbivorous,engelhardti
emausaurus,herbivorous,ernsti
patagosaurus,herbivorous,fariasi
bambiraptor,carnivorous,feinbergorum
piatnitzkysaurus,carnivorous,floresi
troodon,carnivorous,formosus
hadrosaurus,herbivorous,foulkii
hypsilophodon,herbivorous,foxii
polacanthus,herbivorous,foxii
allosaurus,carnivorous,fragilis
coelurus,carnivorous,fragilis
segnosaurus,carnivorous,galbinensis
rebbachisaurus,herbivorous,garasbae
aucasaurus,carnivorous,garridoi
tarchia,herbivorous,gigantea
hagryphus,omnivorous,giganteus
shantungosaurus,herbivorous,giganteus
achillobator,carnivorous,giganteus
